id,pali,selected_pali_word,class_source,extra,class_example,english_translation,Class
10394,avasissati,avasissatu,SN12.22,,"taco ca nahāru ca aṭṭhi ca <b>avasissatu</b>, sarīre upasussatu maṃsalohitaṃ","Let [my] skin, sinew, and bone remain, let [my] flesh and blood dry up in [my] body.",
12241,āyasmant 1,āyasmanto,VIN1.2.12,,mā maṃ <b>āyasmanto</b> kiñci avacuttha kalyāṇaṃ vā pāpakaṃ vā,"Venerables, don't say anything to me, good or bad!",
48317,bāhā 1,bāhaṃ,MN152,,seyyathāpi balavā puriso samiñjitaṃ vā <b>bāhaṃ</b> pasāreyya,Just like a strong man would stretch out (his) bent arm or ,
48380,bāhu,bāhuṃ,VIN PAT SK 18 (simpl),,na <b>bāhuṃ</b> pacālakaṃ antaraghare nisīdissāmi,I will not sit in an inhabited area swinging [my] arm[s].,
48388,bāhuppacālakaṃ,bāhuṃ pacālakaṃ,VIN PAT SK 18 (simpl),,na <b>bāhuppacālakaṃ</b> antaraghare nisīdissāmi,I will not sit in an inhabited area swinging [my] arm[s].,
48017,balavant 1,balavanto,AN2.40,,"yasmiṃ, bhikkhave, samaye corā <b>balavanto</b> honti","At whichever time, monks, thieves are powerful",
48045,balibadda,balibaddā,DN16.26 (simpl),,"dve kassakā bhātaro hatā, cattāro ca <b>balibaddā</b>","Two farmers, [who are] brothers, and four oxen were killed.",
49139,bhagavant 1,bhagavantaṃ,SN1.1,,sā devatā <b>bhagavantaṃ</b> etad'avoca,The deity said this to the Blessed One.,
49178,bhajati 1.1,bhajāhi,DHP76 (simpl),yes,"nidhīnaṃ va pavattāraṃ, vajjadassinaṃ  niggayhavādiṃ medhāviṃ paṇḍitaṃ <b>bhajāhi</b>","Associate with an intelligent person, a wise man, one who reproves, who sees fault, he is (like) one who points out the treasure.",
49695,bhātar,bhātaro,DN16.26 (simpl),,"dve kassakā <b>bhātaro</b> hatā, cattāro ca balibaddā","Two farmers, [who are] brothers, and four oxen were killed.",
49818,bhāvanīya 1,bhāvanīyo,AN10.71,,thero bhikkhu sabrahmacārīnaṃ piyo ca hoti manāpo ca garu ca <b>bhāvanīyo</b> ca.,"An elder monk is dear to [his] fellow monks and pleasant, respected, and worthy of esteem [by them].",
49868,bhikkhave,bhikkhave,MN2.2,,"<b>bhikkhave</b>, assutavā puthujjano na parimuccati jātiyā","Monks, an unlearned common person is not liberated from birth.",
49870,bhikkhavo 2,bhikkhavo,DN2.9,,"bhagavā bhikkhū āmantesi, <b>bhikkhavo</b>'ti.","The Blessed One addressed the monks, “O monks!”",
49885,bhikkhu,bhikkhū,DN2.9,,"bhagavā <b>bhikkhū</b> āmantesi, bhikkhavo'ti.","The Blessed One addressed the monks, “O monks!”",
50150,bhūta 03,bhūtā,SNP9,,"ye keci pāṇa<b>bhūtā</b> atthi, tasā vā thāvarā vā anavasesā","Whatever living beings there are, whether moving or not moving without exception.",
48943,brahmacārī 2,brahmacāriṃ,VIN PAT SA 4 (simpl),,mādisaṃ sīlavantaṃ kalyāṇadhammaṃ <b>brahmacāriṃ</b> paricara,"You must minister to one like me, observing the moral practices, of upright nature, one living the holy life.",
49092,brūmi,brūmi,SN21.10 (simpl),,"sabb'ābhibhuṃ sabbaviduṃ sumedhaṃ, tam naraṃ ekavihārī iti ahaṃ <b>brūmi</b>","[One who is] all-conquering, all-knowing, wise, that man I call thus, “one who dwells alone.”",
25662,ca 2.1,ca,DN16.26 (simpl),,"dve kassakā bhātaro hatā, cattāro <b>ca</b> balibaddā","Two farmers, [who are] brothers, and four oxen were killed.",
25717,cakkhu 1,cakkhu,MN147,,"taṃ kiṃ maññasi, rāhula, <b>cakkhu</b> niccaṃ vā aniccaṃ vā'ti","What do you think, Rāhula, “Is the eye permanent or impermanent?”",
25746,cakkhumant 2,cakkhumanto,DN3.15,,<b>cakkhumanto</b> rūpāni dakkhanti,A person with sight sees forms.,
26128,cattāro,cattāro,DN16.26 (simpl),,"dve kassakā bhātaro hatā, <b>cattāro</b> ca balibaddā","Two farmers, [who are] brothers, and four oxen were killed.",
27021,ce 1,ce,VIN PAT NP 8 (simpl),,"<b>ce</b> so bhikkhu, pubbe appavārito, upasaṅkamissati cīvare vikappaṃ āpajjissati","If that monk, previously uninvited, approaches [there], causes an alteration in a robe",
26775,cirapabbajita,ciraṃ pabbajitā,AN7.23 (simpl),,therā rattaññū <b>ciraṃ pabbajitā</b> saṅghassa pitaro saṅghassa pariṇāyakā,"Senior monks of long-standing, [who] have been ordained for a long time, are fathers of the community of monks, guides of the community of monks.",
26877,cīvare vikappaṃ āpajjati,cīvare vikappaṃ āpajjissati,VIN PAT NP 8 (simpl),,"ce so bhikkhu, pubbe appavārito, upasaṅkamissati <b>cīvare vikappaṃ āpajjissati</b>","If that monk, previously uninvited, approaches [there], causes an alteration in a robe",
26896,cuta 1.1,cutā,AN4.171,yes,sattā tamhā kāyā <b>cutā</b> āgāmino honti āgantāro itthattaṃ,"Living beings [who] have passed away from that group are returners, who come back to this existence.",
31832,dadāti,dadanti,SN1.47 (simpl),,"ye <b>dadanti</b> upassayaṃ, tesaṃ divā ca ratto ca, sadā puññaṃ pavaḍḍhati","Whoever gives a dwelling, merit increases for them all the time, day and night.",
