id,pali,selected_pali_word,word in context,pos,meaning,sutta_number,sutta_name,class_example,match status
62471,sārathi 3,sārathi,purisadammasārathi,masc,leader,sn12.41,pañcaverabhayasuttaṃ,"idha, gahapati, ariyasāvako buddhe aveccappasādena samannāgato hoti, itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadamma<b>sārathi</b> satthā devamanussānaṃ buddho bhagavāti.",Similar
63818,sutta 1.3,sutte,sutte,nt,lying down; sleeping,mn107,gaṇakamoggallānasuttaṃ,"asite pīte khāyite sāyite sampajānakārī, uccārapassāvakamme sampajānakārī, gate ṭhite nisinne <b>sutte</b> jāgarite bhāsite tuṇhībhāve sampajānakārīti.",Similar
30024,tamahaṃ,tamahaṃ,tamahaṃ,sandhi,him I; that I,sn22.94,pupphasuttaṃ,"yo, bhikkhave, tathāgatena evaṃ ācikkhiyamāne desiyamāne paññapiyamāne paṭṭhapiyamāne vivariyamāne vibhajiyamāne uttānīkariyamāne na jānāti na passati <b>tamahaṃ</b>, bhikkhave, bālaṃ puthujjanaṃ andhaṃ acakkhukaṃ ajānantaṃ apassantaṃ kinti karomi!",Similar
30196,tasseva 2,tasseva,,sandhi,of that very; of that exact; of the same,sn56.34,celasuttaṃ,"āditte, bhante, cele vā sīse vā, <b>tasseva</b> celassa vā sīsassa vā nibbāpanāya adhimatto chando ca vāyāmo ca ussāho ca ussoḷhī ca appaṭivānī ca sati ca sampajaññañca karaṇīyanti.",Similar
31244,tepi,tepi,tepi,sandhi,they too; and those too,sn22.78,sīhasuttaṃ,"yepi te, bhikkhave, rañño nāgā gāmanigamarājadhānīsu, daḷhehi varattehi baddhā, <b>tepi</b> tāni bandhanāni sañchinditvā sampadāletvā bhītā muttakarīsaṃ cajamānā, yena vā tena vā palāyanti.",Similar
16130,upasampadā 2,,,fem,(vinaya) higher ordination as monastic,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"labheyyāhaṃ, bhante, bhagavato santike pabbajjaṃ, labheyyaṃ <b>upasampadan</b>ti.",Similar
66981,vāsa 1.1,,,masc,living; dwelling; residence; staying,sn35.232 ,koṭṭhikasuttaṃ,"cakkhu vā, āvuso, rūpānaṃ saṃyojanaṃ abhavissa, rūpā vā cakkhussa saṃyojanaṃ, nayidaṃ brahmacariya<b>vāso</b> paññāyetha sammā dukkhakkhayāya.",Similar
67976,viditvā 2.1,viditvā,viditvā,abs,having known; having perceived; having understood,sn35.136,paṭhamarūpārāmasuttaṃ,"tathāgato ca kho, bhikkhave, arahaṃ sammāsambuddho rūpānaṃ samudayañca atthaṅgamañca assādañca ādīnavañca nissaraṇañca yathābhūtaṃ <b>viditvā</b> na rūpārāmo na rūparato na rūpasammudito.",Similar
69687,vihāra 3,vihāro,phāsuvihāro,masc,mode of living; way of life; way to spend time; mode of existence,mn107,gaṇakamoggallānasuttaṃ,"neva davāya na madāya na maṇḍanāya na vibhūsanāya, yāvadeva imassa kāyassa ṭhitiyā yāpanāya vihiṃsūparatiyā brahmacariyānuggahāya, iti purāṇañca vedanaṃ paṭihaṅkhāmi, navañca vedanaṃ na uppādessāmi, yātrā ca me bhavissati anavajjatā ca phāsu<b>vihāro</b> cāti.",Similar
67615,vijjati 1,vijjati,,pr,exists (in); is found (in); is present (in),sn45.103,paṭhamapācīnaninnasuttaṃ,"so vata, bhikkhave, bhikkhu ariyaṃ aṭṭhaṅgikaṃ maggaṃ bhāvento ariyaṃ aṭṭhaṅgikaṃ maggaṃ bahulīkaronto sikkhaṃ paccakkhāya hīnāyāvattissatīti, netaṃ ṭhānaṃ <b>vijjati</b>.",Similar
68788,viya,viya,viya,ind,like; as,sn47.9,gilānasuttaṃ,"api ca me, bhante, madhurakajāto <b>viya</b> kāyo, disāpi me na pakkhāyanti, dhammāpi maṃ nappaṭibhanti bhagavato gelaññena.",Similar
70035,vutta 2.1,vutte,vutte,pp,said; told; spoken; mentioned,mn107,gaṇakamoggallānasuttaṃ,"evaṃ <b>vutte</b>, gaṇakamoggallāno brāhmaṇo bhagavantaṃ etadavoca,",Similar
54031,yāvatā 1,yāvatā,yāvatā,ind,as long as; as far as; of all; to the extent that,sn35.246,vīṇopamasuttaṃ,"evameva kho, bhikkhave, bhikkhu rūpaṃ samanvesati <b>yāvatā</b> rūpassa gati, vedanaṃ samanvesati <b>yāvatā</b> vedanāya gati, saññaṃ samanvesati <b>yāvatā</b> saññāya gati, saṅkhāre samanvesati <b>yāvatā</b> saṅkhārānaṃ gati, viññāṇaṃ samanvesati <b>yāvatā</b> viññāṇassa gati.",Similar
35765,nabhas,,,masc,sky,sn22.102,aniccasaññāsuttaṃ,"seyyathāpi, bhikkhave, saradasamaye viddhe vigatavalāhake deve ādicco <b>nabhaṃ</b> abbhussakkamāno, sabbaṃ ākāsagataṃ tamagataṃ abhivihacca bhāsate ca tapate ca virocate ca, evameva kho, bhikkhave, aniccasaññā bhāvitā bahulīkatā sabbaṃ kāmarāgaṃ pariyādiyati, sabbaṃ rūparāgaṃ pariyādiyati, sabbaṃ bhavarāgaṃ pariyādiyati, sabbaṃ avijjaṃ pariyādiyati, sabbaṃ asmimānaṃ samūhanati.",
42469,pabbajati,,,pr,ordains as a monastic; renounces the household life,sn35.241,paṭhamadārukkhandhopamasuttaṃ,acirūpasampanno ca panāyasmā nando eko vūpakaṭṭho appamatto ātāpī pahitatto viharanto nacirasseva yassatthāya kulaputtā sammadeva agārasmā anagāriyaṃ <b>pabbajanti</b> tadanuttaraṃ brahmacariyapariyosānaṃ diṭṭheva dhamme sayaṃ abhiññā sacchikatvā upasampajja viharati.,
44460,palāyati,,,pr,runs away; flees; escapes,sn22.78,sīhasuttaṃ,"yepi te, bhikkhave, rañño nāgā gāmanigamarājadhānīsu, daḷhehi varattehi baddhā, tepi tāni bandhanāni sañchinditvā sampadāletvā bhītā muttakarīsaṃ cajamānā, yena vā tena vā <b>palāyanti</b>.",
44968,pavisati,,,pr,enters; goes (into),sn22.78,sīhasuttaṃ,"ye hi keci, bhikkhave, tiracchānagatā pāṇā sīhassa migarañño nadato saddaṃ suṇanti, yebhuyyena bhayaṃ saṃvegaṃ santāsaṃ āpajjanti, bilaṃ bilāsayā <b>pavisanti</b>, dakaṃ dakāsayā <b>pavisanti</b>, vanaṃ vanāsayā <b>pavisanti</b>, ākāsaṃ pakkhino bhajanti.",
