id,pali,selected_pali_word,sutta_number,sutta_name,class_example
6692,apucchi,apucchi,sn22.82,puṇṇamasuttaṃ,"apucchi, ko nu kho, bhante, hetu ko paccayo rūpakkhandhassa paññāpanāya, ko hetu ko paccayo vedanākkhandhassa paññāpanāya, ko hetu ko paccayo saññākkhandhassa paññāpanāya, ko hetu ko paccayo saṅkhārakkhandhassa paññāpanāya, ko hetu ko paccayo viññāṇakkhandhassa paññāpanāyā'ti?"
25849,catu,cattāri,mn107,gaṇakamoggallānasuttaṃ,"ekaṃ ekakaṃ, dve dukā, tīṇi tikā, cattāri catukkā, pañca pañcakā, cha chakkā, satta sattakā, aṭṭha aṭṭhakā, nava navakā, dasa dasakā'ti"
36029,nāga 3,nāgā,sn46.1,himavantasuttaṃ,"seyyathā'pi, bhikkhave, himavantaṃ pabbatarājānaṃ nissāya <b>nāgā</b> kāyaṃ vaḍḍhenti, balaṃ gāhenti, te tattha kāyaṃ vaḍḍhetvā balaṃ gāhetvā kusobbhe otaranti"
42364,pannarasa 2,pannarase,sn22.82,puṇṇamasuttaṃ,tena kho pana samayena bhagavā tadah'uposathe <b>pannarase</b> puṇṇāya puṇṇamāya rattiyā bhikkhusaṅghaparivuto ajjhokāse nisinno hoti.
46592,puṇṇa 2,<b>puṇṇāya</b>,sn22.82,puṇṇamasuttaṃ,tena kho pana samayena bhagavā tadah'uposathe pannarase <b>puṇṇāya</b> puṇṇamāya rattiyā bhikkhusaṅghaparivuto ajjhokāse nisinno hoti.
49753,bhāsati 1.1,bhāsissāmī'ti,sn45.8,vibhaṅgasuttaṃ,"taṃ suṇātha, sādhukaṃ manasi karotha, <b>bhāsissāmī</b>'ti."
56431,sakkāya,sakkāyadiṭṭhi,sn22.78,sīhasuttaṃ,"mayam'pi kira, bho, aniccā addhuvā asassatā sakkāyapariyāpannā'ti."
62223,sādhu 4,<b>sādhu</b>,sn12.65,sammasasuttaṃ,"sādhu <b>sādhu</b>, bhikkhave, evam'etaṃ, bhikkhave, n'etaṃ aññathā."
65967,vata 1.2,vata,sn45.160,nadīsuttaṃ,"so <b>vata</b>, bhikkhave, bhikkhu ariyaṃ aṭṭh'aṅgikaṃ maggaṃ bhāvento ariyaṃ aṭṭh'aṅgikaṃ maggaṃ bahulīkaronto sikkhaṃ paccakkhāya hīnāyāvattissatīti, n'etaṃ ṭhānaṃ vijjati."
67624,vijjā 1,vijjā,sn12.41,pañcaverabhayasuttaṃ,"idha, gahapati, ariyasāvako buddhe aveccappasādena samannāgato hoti, iti'pi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā'ti."
11900,āpanna 1,āpanno,sn12.10,gotamasuttaṃ,"pubb'eva me, bhikkhave, sambodhā anabhisambuddhassa bodhisattass'eva sato etadahosi, kicchaṃ vat'āyaṃ loko <b>āpanno</b> jāyati ca jīyati ca mīyati ca cavati ca upapajjati ca."
24443,gamissati 1,gamissanti,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"gamissanti, bhante, gāvo vacchagiddhiniyo'ti."
25037,gihī,gihī,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"idha, bhikkhu, gihīhi saṃsaṭṭho viharati sahanandī sahasokī, sukhitesu sukhito, dukkhitesu dukkhito, uppannesu kiccakaraṇīyesu attanā tesu yogaṃ āpajjati."
26477,cārī 1.1,cārī,sn47.7,makkaṭasuttaṃ,"atthi, bhikkhave, himavato pabbatarājassa duggā visamā desā, yattha n'eva makkaṭānaṃ <b>cārī</b> na manussānaṃ."
37206,nidānaṃ,kiṃnidānaṃ,sn12.51,parivīmaṃsanasuttaṃ,"yaṃ kho idaṃ anekavidhaṃ nānappakārakaṃ dukkhaṃ loke uppajjati jarāmaraṇaṃ, idaṃ nu kho dukkhaṃ <b>kiṃnidānaṃ</b> kiṃsamudayaṃ kiṃjātikaṃ kiṃpabhavaṃ?"
42552,pabbhāra 1,pabbhāra,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"evaṃ hi so, bhikkhave, dārukkhandho samuddaninno bhavissati samuddapoṇo samuddapabbhāro."
63146,sīla 1,sīlaṃ,sn46.1,himavantasuttaṃ,"evam'eva kho, bhikkhave, bhikkhu sīlaṃ nissāya sīle patiṭṭhāya satta bojjh'aṅge bhāvento satta bojjh'aṅge bahulīkaronto mahantattaṃ vepullattaṃ pāpuṇāti dhammesu."
43744,paribbājaka,paribbājakā,sn45.5,kimatthiyasuttaṃ,"idha no, bhante, aññatitthiyā <b>paribbājakā</b> amhe evaṃ pucchanti, kim'atthiyaṃ, āvuso, samaṇe gotame brahmacariyaṃ vussatī'ti?"
52758,mukha 1,mukh'ādhāne,mn107,gaṇakamoggallānasuttaṃ,"seyyathā'pi, brāhmaṇa, dakkho assadammako bhaddaṃ ass'ājānīyaṃ labhitvā paṭhamen'eva <b>mukh</b>'ādhāne kāraṇaṃ kāreti, atha uttariṃ kāraṇaṃ kāreti,"
64616,suvimutta,suvimuttacitto,sn35.232,koṭṭhikasuttaṃ,chandarāgo bhagavato n'atthi. suvimuttacitto bhagavā.
65600,vacanīya 2,vacanīyaṃ,sn56.13,khandhasuttaṃ,"pañcupādānakkhandhātissa <b>vacanīyaṃ</b>, seyyath'īdaṃ, rūp'upādānakkhandho, vedan'upādānakkhandho, saññ'upādānakkhandho, saṅkhār'upādānakkhandho, viññāṇ'upādānakkhandho."
4333,anukampaṃ upādāya,anukampaṃ upādāya,sn43.1,asaṅkhatasuttaṃ,"yaṃ, bhikkhave, satthārā karaṇīyaṃ sāvakānaṃ hit'esinā anukampakena anukampaṃ upādāya, kataṃ vo taṃ mayā."
4334,anukampā,anukampaṃ upādāya,sn43.1,asaṅkhatasuttaṃ,"yaṃ, bhikkhave, satthārā karaṇīyaṃ sāvakānaṃ hit'esinā anukampakena anukampaṃ upādāya, kataṃ vo taṃ mayā."
12419,ārammaṇa 2,ārammaṇaṃ,sn47.7,makkaṭasuttaṃ,"agocare, bhikkhave, carataṃ paravisaye lacchati māro otāraṃ, lacchati māro ārammaṇaṃ."
16350,upādāya 1,uppādāya,sn22.18,sahetu-aniccasuttaṃ,"yo'pi hetu, yo'pi paccayo rūpassa <b>uppādāya</b>, so'pi anicco."
32799,dīpa 2.2,dīpañ'ca,sn43.14,anāsavādisuttaṃ,"dīpañ'ca vo, bhikkhave, desessāmi dīpagāmiñ'ca maggaṃ."
63458,sukhakāma,sukhakāmo,sn47.20,janapadakalyāṇīsuttaṃ,atha puriso āgaccheyya jīvitu'kāmo amaritu'kāmo <b>sukhakāmo</b> dukkhappaṭikūlo.
526,agāra 1,suññ'āgārāni,sn43.1,asaṅkhatasuttaṃ,"etāni, bhikkhave, rukkhamūlāni, etāni suññ'<b>āgārāni</b>."
